_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
60258c2b0a7214d8e900028f,,,1.61307E+12,1.61307E+12,,1.61307E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602483540a7214d8e90001ea,,,1.61301E+12,1.61301E+12,,1.61301E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602561fd0a7214d8e9000273,,,1.61306E+12,1.61306E+12,,1.61306E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602566ae0a7214d8e900027b,,,1.61306E+12,1.61306E+12,,1.61306E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60251e050a720f05a80001fc,,,1.61305E+12,1.61305E+12,,1.61305E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60250b440a720f05a80001f5,,,1.61304E+12,1.61304E+12,,1.61304E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602531f00a7214d8e900023e,,,1.61305E+12,1.61305E+12,,1.61305E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6025a8580a720f05a8000270,,,1.61308E+12,1.61308E+12,,1.61308E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602558b60a7214d8e9000266,5,All-receipts receipt bonus,1.61306E+12,1.61306E+12,1.61306E+12,1.61306E+12,1.61306E+12,5,1.613E+12,5,FINISHED,26,602558b1efa60114d20e5dc7
6025386a0a7214d8e9000241,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61305E+12,1.61305E+12,1.61305E+12,1.61305E+12,1.61305E+12,500,1.61297E+12,2,FINISHED,1,60253861efa6017a44dc6b50
602569060a720f05a8000258,,,1.61306E+12,1.61306E+12,,1.61306E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6024b5b70a720f05a80001d6,,,1.61302E+12,1.61302E+12,,1.61302E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602538b30a7214d8e9000248,25,COMPLETE_NONPARTNER_RECEIPT,1.61305E+12,1.61305E+12,1.61305E+12,1.61305E+12,1.61305E+12,25,1.6124E+12,1,FINISHED,10,60253861efa6017a44dc6b50
6024f7570a7214d8e900021f,,,1.61304E+12,1.61304E+12,,1.61304E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602585240a720f05a8000263,,,1.61307E+12,1.61307E+12,,1.61307E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602552c10a7214d8e9000255,,,1.61306E+12,1.61306E+12,,1.61306E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
